1,3503
1,3609
1,3645
2,3503
2,3609
2,3645
3,3600
3,3502
3,3645
4,3503
4,3600
4,3645
5,3593
5,3645
5,3504
6,3492
6,3611
6,3642
7,3503
7,3645
7,3638
8,3600
8,3502
8,3645
9,3503
9,3600
9,3645
10,3503
10,3600
10,3645
11,3503
11,3609
11,3645
12,3491
12,3617
12,3642
13,3569
13,3502
13,3645
14,3492
14,3630
14,3642
15,3563
15,3491
15,3642
16,3568
16,3502
16,3645
17,3644
17,3499
17,3613
18,3644
18,3500
18,3606
19,3644
19,3500
19,3611
20,3491
20,3611
20,3642
21,3561
21,3491
21,3642
22,3643
22,3569
22,3494
23,3606
23,3491
23,3642
24,3606
24,3491
24,3642
25,3606
25,3491
25,3642
26,3492
26,3611
26,3642
27,3491
27,3611
27,3642
28,3491
28,3611
28,3642
29,3502
29,3609
29,3645
30,3573
30,3491
30,3642
31,3562
31,3491
31,3642
32,3561
32,3491
32,3642
33,3561
33,3491
33,3642
34,3590
34,3645
34,3504
35,3593
35,3645
35,3504
36,3569
36,3645
36,3504
37,3491
37,3617
37,3642
38,3593
38,3645
38,3504
39,3562
39,3491
39,3642
40,3502
40,3645
40,3617
41,3491
41,3630
41,3642
42,3643
42,3601
42,3496
43,3644
43,3500
43,3620
44,3585
44,3491
44,3642
45,3585
45,3491
45,3642
46,3598
46,3491
46,3642
47,3644
47,3597
47,3499
48,3569
48,3502
48,3645
49,3643
49,3569
49,3494
50,3569
50,3503
50,3645
51,3644
51,3500
51,3607
52,3569
52,3502
52,3645
53,3503
53,3645
53,3614
54,3643
54,3572
54,3496
55,3643
55,3572
55,3496
56,3643
56,3569
56,3494
57,3569
57,3503
57,3645
58,3569
58,3502
58,3645
59,3643
59,3494
59,3617
60,3491
60,3617
60,3642
61,3585
61,3502
61,3645
62,3492
62,3616
62,3642
63,3492
63,3616
63,3642
64,3491
64,3642
64,3635
65,3561
65,3491
65,3642
66,3606
66,3491
66,3642
67,3643
67,3494
67,3620
68,3643
68,3494
68,3620
69,3569
69,3503
69,3645
70,3569
70,3502
70,3645
71,3600
71,3502
71,3645
72,3643
72,3494
72,3620
